"Term","Term Description","Session","Class","Subject","Catalog Nbr","Section","Class Nbr","Component","Description","Academic Organization","Location Code","Instruction Mode","Enrollment Total","Enrollment Capacity","Wait List Total","List of Students"
"2268","Fall 2026","1","BUABU 001 A1","BUABU","001","A1","2539","PLC","BU Academy 1st Year","BUA","CHARLESRIV","P","0","999","0","List of Students"
"2268","Fall 2026","1","BUABU 002 A1","BUABU","002","A1","2540","PLC","BU Academy 2nd Year","BUA","CHARLESRIV","P","0","999","0","List of Students"
"2268","Fall 2026","1","BUABU 003 A1","BUABU","003","A1","2541","PLC","BU Academy 3rd Year","BUA","CHARLESRIV","P","0","999","0","List of Students"
"2268","Fall 2026","1","BUABU 004 A1","BUABU","004","A1","2542","PLC","BU Academy 4th Year","BUA","CHARLESRIV","P","0","999","0","List of Students"
"2268","Fall 2026","1","CASAA 114 A1","CASAA","114","A1","15510","IND","Kongo to Cuba","CASAA","CHARLESRIV","P","25","25","0","List of Students"
"2268","Fall 2026","1","CASAA 207 A1","CASAA","207","A1","3020","LEC","Sociology of Race & Ethnicity","CASAA","CHARLESRIV","P","49","50","0","List of Students"
"2268","Fall 2026","1","CASAA 207 A2","CASAA","207","A2","3021","DIS","Sociology of Race & Ethnicity","CASAA","CHARLESRIV","P","12","12","0","List of Students"
"2268","Fall 2026","1","CASAA 207 A3","CASAA","207","A3","3022","DIS","Sociology of Race & Ethnicity","CASAA","CHARLESRIV","P","12","12","0","List of Students"
"2268","Fall 2026","1","CASAA 207 A4","CASAA","207","A4","3023","DIS","Sociology of Race & Ethnicity","CASAA","CHARLESRIV","P","13","13","0","List of Students"
"2268","Fall 2026","1","CASAA 207 A5","CASAA","207","A5","3024","DIS","Sociology of Race & Ethnicity","CASAA","CHARLESRIV","P","12","13","0","List of Students"
"2268","Fall 2026","1","CASAA 234 A1","CASAA","234","A1","3025","IND","African American Global Pers","CASAA","CHARLESRIV","P","20","20","0","List of Students"
"2268","Fall 2026","1","CASAA 235 A1","CASAA","235","A1","18198","IND","Archaeology of Africa","CASAA","CHARLESRIV","P","7","15","0","List of Students"
"2268","Fall 2026","1","CASAA 238 A1","CASAA","238","A1","7010","IND","Modern Africa","CASAA","CHARLESRIV","P","10","10","0","List of Students"
"2268","Fall 2026","DYN","CASAA 240E LP","CASAA","240E","LP","18281","IND","The British Black Diaspora","SAB","LONDON","P","6","30","0","List of Students"
"2268","Fall 2026","1","CASAA 241 A1","CASAA","241","A1","16803","IND","Sport & Society 20th Century","CASAA","CHARLESRIV","P","10","10","0","List of Students"
"2268","Fall 2026","1","CASAA 287 A1","CASAA","287","A1","6430","IND","Slavery and the In-Between","CASAA","CHARLESRIV","P","15","15","0","List of Students"
"2268","Fall 2026","1","CASAA 296 A1","CASAA","296","A1","6624","IND","Religion and Hip Hop","CASAA","CHARLESRIV","P","15","15","0","List of Students"
"2268","Fall 2026","1","CASAA 297 A1","CASAA","297","A1","16807","IND","African American Women's Hist","CASAA","CHARLESRIV","P","13","13","0","List of Students"
"2268","Fall 2026","1","CASAA 304 A1","CASAA","304","A1","17146","IND","African American Women Writers","CASAA","CHARLESRIV","P","15","15","0","List of Students"
"2268","Fall 2026","1","CASAA 340 A1","CASAA","340","A1","16810","IND","Hip-Hop History and Culture","CASAA","CHARLESRIV","P","15","15","0","List of Students"
"2268","Fall 2026","1","CASAA 371 A1","CASAA","371","A1","3027","IND","Black Freedom Dreams","CASAA","CHARLESRIV","P","21","25","0","List of Students"
"2268","Fall 2026","1","CASAA 408 A1","CASAA","408","A1","6659","IND","Seminar: Minority Relations","CASAA","CHARLESRIV","P","2","5","0","List of Students"
"2268","Fall 2026","1","CASAA 490 A1","CASAA","490","A1","16841","IND","Blacks and Asians: Encounters","CASAA","CHARLESRIV","P","7","7","0","List of Students"
"2268","Fall 2026","1","CASAA 516 A1","CASAA","516","A1","16852","IND","W.E.B. Du Bois","CASAA","CHARLESRIV","P","2","6","0","List of Students"
"2268","Fall 2026","1","CASAA 571 B1","CASAA","571","B1","17891","IND","Art of African Diaspora","CASAA","CHARLESRIV","P","2","7","0","List of Students"
"2268","Fall 2026","1","CASAA 808 A1","CASAA","808","A1","11799","IND","Seminar: Minority Relations","CASAA","CHARLESRIV","P","0","5","0","List of Students"
"2268","Fall 2026","1","CASAA 871 A1","CASAA","871","A1","11027","IND","Seminar: African American Hist","CASAA","CHARLESRIV","P","0","8","0","List of Students"
"2268","Fall 2026","1","CASAA 901 C1","CASAA","901","C1","12119","DRS","DS: African American Studies","CASAA","CHARLESRIV","P","0","1","0","List of Students"
"2268","Fall 2026","1","CASAA 901 G1","CASAA","901","G1","12105","DRS","DS: African American Studies","CASAA","CHARLESRIV","P","0","1","0","List of Students"
